id,mst_housework_category_id,name,created_at,updated_at
1,1,子供起こす,NULL,NULL
2,1,朝ごはん用意,NULL,NULL
3,1,布団を畳む、ベッドを整える,NULL,NULL
4,1,新聞とる,NULL,NULL
5,2,献立を考える,NULL,NULL
6,2,食材の買い物,NULL,NULL
7,2,冷蔵庫の中の整理,NULL,NULL
8,2,夕食作り,NULL,NULL
9,2,昼食作り,NULL,NULL
10,2,米をとぎ、ご飯を炊く,NULL,NULL
11,2,盛り付け,NULL,NULL
12,2,テーブル拭く,NULL,NULL
13,2,配膳,NULL,NULL
14,2,調味料や油の補充,NULL,NULL
15,2,食後の片付け,NULL,NULL
16,2,食器洗い洗剤の詰替,NULL,NULL
17,2,ふきんの除菌・漂白,NULL,NULL
18,2,まな板の除菌・漂白,NULL,NULL
19,2,包丁とぐ,NULL,NULL
20,3,洗剤、柔軟剤の補充・交換,NULL,NULL
21,3,洗濯槽の掃除,NULL,NULL
22,3,洗濯機のフィルター清掃,NULL,NULL
23,3,寝具の洗濯、取り替え,NULL,NULL
24,3,洗濯物を干す,NULL,NULL
25,3,洗濯物を取り込む,NULL,NULL
26,3,洗濯物を畳む,NULL,NULL
27,4,お風呂を入れる,NULL,NULL
28,4,シャンプーなどの買い出し,NULL,NULL
29,4,バスタオルの回収・交換,NULL,NULL
30,5,浴槽を洗う,NULL,NULL
31,5,壁ドア・鏡・手すりを洗う,NULL,NULL
32,5,床を洗う,NULL,NULL
33,5,風呂の排水溝に詰まった髪の毛の掃除,NULL,NULL
34,5,排水溝を洗う,NULL,NULL
35,6,トイレの掃除,NULL,NULL
36,6,壁・床・棚を拭く,NULL,NULL
37,6,トイレマットの交換,NULL,NULL
38,6,トイレットペーパーの補充・交換,NULL,NULL
39,6,トイレ洗剤の購入と補充,NULL,NULL
40,7,食器洗う,NULL,NULL
41,7,食器を拭く,NULL,NULL
42,7,シンクの水気を拭く,NULL,NULL
43,7,食器をしまう,NULL,NULL
44,7,キッチン台の片付け,NULL,NULL
45,7,調理器具をしまう,NULL,NULL
46,7,ガス台・ごとくの拭き掃除,NULL,NULL
47,7,食洗機の掃除,NULL,NULL
48,7,炊飯器の掃除,NULL,NULL
49,7,レンジ・オーブンの掃除,NULL,NULL
50,7,トースターの掃除,NULL,NULL
51,7,キッチン壁・床の拭き掃除,NULL,NULL
52,7,換気扇の掃除,NULL,NULL
53,8,家中を掃除機かける,NULL,NULL
54,8,玄関の掃除,NULL,NULL
55,8,靴を整頓,NULL,NULL
56,8,傘をしまう,NULL,NULL
57,8,テレビ、テレビ台の掃除,NULL,NULL
58,8,床の掃除,NULL,NULL
59,8,物の整理,NULL,NULL
60,8,子供部屋の掃除,NULL,NULL
61,9,ゴミを集め分別,NULL,NULL
62,9,ベットボトルのフィルムはがす,NULL,NULL
63,9,ゴミ出し,NULL,NULL
64,9,ゴミ箱にゴミ袋装着,NULL,NULL
65,9,段ボールを潰して捨てる,NULL,NULL
66,10,家族のスケジュール管理,NULL,NULL
67,10,郵便物を取りに行く,NULL,NULL
68,10,郵便物の仕分け・管理,NULL,NULL
69,10,米・ビールの補充,NULL,NULL
70,10,日用品の買い出し・補充,NULL,NULL
71,10,アイロン,NULL,NULL
72,10,植物に水やり,NULL,NULL
73,10,加湿器に水を入れる,NULL,NULL
74,11,子供の交友関係の把握・管理,NULL,NULL
75,11,子供の勉強をみる,NULL,NULL
76,11,子供の行事ごとの持ち物の把握,NULL,NULL
77,11,子供のスマホ・ゲーム時間の管理,NULL,NULL
78,11,子供の習い事送迎,NULL,NULL
79,11,子供の水筒を洗う,NULL,NULL
80,11,子供の体操服を洗う,NULL,NULL
81,11,子供のテストやプリント管理,NULL,NULL
82,11,子供の学校行事に参加,NULL,NULL
83,11,子供の学校のPTA活動に参加,NULL,NULL
84,11,地域集会に参加,NULL,NULL
85,11,保護者会に参加,NULL,NULL
86,11,子供の写真の整理保管,NULL,NULL
87,12,ペットの朝散歩,NULL,NULL
88,12,ペットの夕方散歩,NULL,NULL
89,12,ペットに餌をやる,NULL,NULL
90,12,ペットの餌購入,NULL,NULL
91,12,ペットと遊ぶ,NULL,NULL
92,12,ペットの毛並みを整える,NULL,NULL
93,13,訪問介護デイケアのお迎え,NULL,NULL
94,13,食事の手伝い（介護）,NULL,NULL
95,13,ベット周りの整理整頓（介護）,NULL,NULL
96,13,トイレの介助,NULL,NULL
97,13,外出の介助,NULL,NULL
98,13,通院の手伝い,NULL,NULL
99,14,授乳,NULL,NULL
100,14,哺乳瓶の洗浄,NULL,NULL
101,14,ミルクを作る,NULL,NULL
102,14,ミルクを与える,NULL,NULL
103,14,おむつを替える,NULL,NULL
104,14,おむつを捨てる,NULL,NULL
105,14,絵本の読み聞かせ,NULL,NULL
106,14,肌着・洋服を着せる,NULL,NULL
107,14,夜泣き対応,NULL,NULL
108,14,寝かしつけ,NULL,NULL
109,14,お出かけの持ち物用意,NULL,NULL
110,14,離乳食を作る,NULL,NULL
111,14,離乳食を食べさせる,NULL,NULL
112,14,赤ちゃんをお風呂に入れる,NULL,NULL
113,14,赤ちゃんにクリームを塗る,NULL,NULL
114,14,赤ちゃんの爪を切る,NULL,NULL
115,14,赤ちゃんの耳・鼻掃除,NULL,NULL
116,14,おむつ・お尻拭き・粉ミルク・離乳食の在庫確認と購入,NULL,NULL
117,14,児童館の交流会などのイベント参加,NULL,NULL
118,14,保育園のお迎え,NULL,NULL
119,14,保育園の見送り,NULL,NULL